claim_id,pmid,claim_role,pub_year,journal,pub_type_simple_5,specialty,title,signature_claim,tier,topic,horizon,flag_confirmed,reviewer_note
33529363,33529363,primary,2021,Epilepsia,Review,Neurology / Neuroscience,Can Big Data guide prognosis and clinical decisions in epilepsy?,"Big Data will enable multimodal research integrating various '-omics' domains with the potential to change our understanding of prognosis and mortality in epilepsy, and personalized patient care through clinical decision support systems that are evidence-based, adaptive, and iterative seems to be within reach.",2,epilepsy clinical decision support / Big Data,open-ended,yes,
33937332,33937332,primary,2021,Frontiers in molecular biosciences,Research Article,Oncology,Nanogenomics and Artificial Intelligence: A Dynamic Duo for the Fight Against Breast Cancer.,"A laboratory instrument fitted with an AI program can be used to diagnose suspected breast cancer patients by matching their sera miRNA and biomolecules composition with available nanogenomics-derived template profiles of breast tumor sub-types, estrogen receptor status, and potential metastasis sites.",2,breast cancer diagnostics / nanogenomics AI,open-ended,yes,"un-flag the claim_2. ""ai applying"", is a description of the past. On the other hand, claim 1 is good, keep. Also, should discuss this is tier 2 or 3"
34064710,34064710,primary,2021,International journal of environmental research and public health,Review,Obstetrics / Gynecology,Gynecology Meets Big Data in the Disruptive Innovation Medical Era: State-of-Art and Future Prospects.,"Big and smart data can revolutionize gynecology by increasing accuracy and precision, stratifying patients, and providing personalized treatment options at each stage of healthcare management (health promotion, prevention, diagnosis, prognosis, and therapeutics).",3,gynecology / big data / AI,open-ended,yes,
34882190,34882190,primary,2021,JAMA,Research Article,Medical Informatics / Digital Health,"Next-Generation Artificial Intelligence for Diagnosis: From Predicting Diagnostic Labels to ""Wayfinding"".",Next-generation AI for diagnosis will move beyond predicting diagnostic labels to performing 'wayfinding'—guiding the diagnostic process in a fundamentally new way.,3,clinical diagnosis / AI decision support,open-ended,yes,
33929707,33929707,primary,2021,Journal of robotic surgery,Research Article,Ophthalmology,Can robotics be the future of ophthalmic surgery?,Innovations in robotic technology and artificial intelligence may provide an ideal machine-human interface with planned and precise movements minimizing unwanted tissue damage and improving clinical outcomes in ophthalmic surgery.,3,ophthalmic surgery robotics,open-ended,yes,
32974930,32974930,primary,2021,Journal of surgical oncology,Review,Oncology,Patient generated health data and electronic health record integration in oncologic surgery: A call for artificial intelligence and machine learning.,"Artificial intelligence and machine-learning methodology will play a critical role in the efficient translation of patient-generated health data, patient-reported outcomes, and traditional outcome measures into meaningful patient care models in surgical oncology.",2,surgical oncology / clinical data integration,open-ended,yes,
33851753,33851753,primary,2021,Movement disorders : official journal of the Movement Disorder Society,Editorial,Neurology / Neuroscience,Machine Learning Will Extend the Clinical Utility of Adaptive Deep Brain Stimulation.,Machine learning will extend the clinical utility of adaptive deep brain stimulation.,2,deep brain stimulation / neurology,open-ended,yes,
33159824,33159824,primary,2021,Nursing inquiry,Research Article,Nursing,Transcending human frailties with technological enhancements and replacements: Transhumanist perspective in nursing and healthcare.,"Through technologies including genetic screening and other technological manipulations, intelligent machines and augmented humans will improve, maintain, and remedy human-linked susceptibilities, transcending human frailties.",3,"transhumanism, nursing, healthcare technology",open-ended,yes,
34370272,34370272,primary,2021,Physical and engineering sciences in medicine,Research Article,Medical Informatics / Digital Health,Artificial intelligence (AI) will enable improved diagnosis and treatment outcomes.,Artificial intelligence (AI) will enable improved diagnosis and treatment outcomes.,3,general clinical AI,open-ended,yes,
35199553,35199553,primary,2021,Physiological research,Review,Medical Informatics / Digital Health,The potential applications of artificial intelligence in drug discovery and development.,"AI approaches, coupled with big data, are expected to substantially improve the effectiveness of drug repurposing and finding new drugs for various complex human diseases.",2,drug discovery and development,open-ended,yes,"discuss, tier 2 or 3"
32940124,32940124,primary,2021,SLAS technology,Review,Medical Informatics / Digital Health,Artificial Intelligence Effecting a Paradigm Shift in Drug Development.,"This paradigm shift will lead to even greater advancements in the integration of AI in automating processes within drug development and discovery, enabling the probability and reality of attaining future precision and personalized medicine.",3,drug discovery and development,open-ended,yes,
34471174,34471174,primary,2021,Scientific reports,Research Article,Dermatology,"AI outperformed every dermatologist in dermoscopic melanoma diagnosis, using an optimized deep-CNN architecture with custom mini-batch logic and loss function.","Our proposed deep-CNN approach outperforms all 157 dermatologists in dermoscopic melanoma diagnosis, achieving AUC of 94.4%, sensitivity of 85.0%, and specificity of 95.0%.",1,dermatology imaging / melanoma diagnosis,open-ended,yes,
34247564,34247564,primary,2021,The American journal of Chinese medicine,Review,Medical Informatics / Digital Health,The Impact of Artificial Intelligence on Traditional Chinese Medicine.,"AI is promoting TCM from experience to evidence-based medicine, and it can be expected that more unified guidelines for specific TCM syndromes will be issued with the development of AI-assisted TCM therapies in the future.",2,Traditional Chinese Medicine diagnostics and treatment,open-ended,yes,"with detailed methodology and specialty in mind, at least tier 2, or even tier 1"
35225723,35225723,primary,2022,Cancer investigation,Research Article,Oncology,Rapid Progress in Intelligent Radiotherapy and Future Implementation.,"Intelligent radiotherapy will enable the future implementation of an unmanned radiotherapy center through an automatic and intelligent network platform covering radiotherapy preparation, target volume delineation, treatment planning, radiation delivery, QA/QC, prognosis judgment, and post-treatment follow-up.",2,radiation oncology / radiotherapy AI,open-ended,yes,
35031822,35031822,primary,2022,Cardiovascular and interventional radiology,Review,Radiology / Diagnostic Imaging,Prime Time for Artificial Intelligence in Interventional Radiology.,IR could lead the way to AI research and clinical applications for all interventional medical fields.,3,interventional radiology / AI workflow,open-ended,yes,
35187568,35187568,primary,2022,Cardiovascular research,Research Article,Cardiology,Current and future implications of the artificial intelligence electrocardiogram: the transformation of healthcare and attendant research opportunities.,AI-based electrocardiogram analysis will transform healthcare and create new research opportunities.,3,cardiology / ECG AI,open-ended,yes,
35609670,35609670,primary,2022,Clinical biochemistry,Letter,Pathology / Laboratory Medicine,"Artificial intelligence: A step forward in the clinical laboratory, a decision maker hub.","Artificial intelligence will serve as a decision maker hub, representing a step forward in the clinical laboratory.",2,clinical laboratory,open-ended,yes,
35909280,35909280,primary,2022,Current pharmaceutical design,Editorial,Medical Informatics / Digital Health,"Artificial Intelligence: The New ""Fuel"" to Accelerate Pharmaceutical Development.",Artificial intelligence will accelerate pharmaceutical development.,2,pharmaceutical development / drug discovery,open-ended,yes,
35608227,35608227,primary,2022,European heart journal,Review,Cardiology,"Three-dimensional printing, holograms, computational modelling, and artificial intelligence for adult congenital heart disease care: an exciting future.","Advanced technologies such as 3D printing, virtual reality, augmented reality, computational modelling, and artificial intelligence will be incorporated into routine clinical practice for adult congenital heart disease to achieve the best outcomes through delivery of personalized medicine.",2,congenital heart disease / cardiac imaging and AI,open-ended,yes,
35872988,35872988,primary,2022,Frontiers in endocrinology,Research Article,Internal Medicine / Primary Care,Cushing's Disease Management: Glimpse Into 2051.,Endocrinology care will be completely reinvented in the Digital Age through the application of data technologies and artificial intelligence into healthcare.,3,endocrinology / Cushing's disease management,by 2051,yes,
34954571,34954571,primary,2022,"Healthcare (Amsterdam, Netherlands)",Research Article,Internal Medicine / Primary Care,Advancing primary care with Artificial Intelligence and Machine Learning.,"Primary care plays a critical role in developing, introducing, implementing, and monitoring AI/ML tools in healthcare and must not be overlooked as AI/ML transforms healthcare.",3,primary care / health systems AI integration,open-ended,yes,
35691440,35691440,primary,2022,International journal of cardiology,Research Article,Cardiology,Artificial intelligence versus physicians on interpretation of printed ECG images: Diagnostic performance of ST-elevation myocardial infarction on electrocardiography.,"Image-based AI system (QCG™) can outperform clinicians (emergency physicians and cardiologists) in STEMI diagnosis, with AUC-ROC of 0.919 significantly higher than all clinician groups (0.817–0.856), and its performance is robust to changes in image acquisition conditions.",1,cardiology ECG interpretation / STEMI diagnosis,open-ended,yes,
36142600,36142600,primary,2022,International journal of molecular sciences,Review,Medical Informatics / Digital Health,Molecular Biosimilarity-An AI-Driven Paradigm Shift.,"AI-based protein structure prediction (AlphaFold-2) confirms that identical primary structure determines identical 3D structure, enabling biosimilar approval based on molecular biosimilarity alone—replacing classical animal and clinical testing—and reducing development costs without compromising safety or efficacy.",2,biosimilar drug development / regulatory science,open-ended,yes,
35302963,35302963,primary,2022,JBJS reviews,Review,Surgery,Understanding Artificial Intelligence and Predictive Analytics: A Clinically Focused Review of Machine Learning Techniques.,"Machine learning will soon become critical in the day-to-day operations of orthopaedic practice, providing improved accuracy compared with clinicians, decreased time required, and a heightened ability to triage patients.",1,orthopaedics / clinical machine learning,soon (unspecified near-term),yes,
34602525,34602525,primary,2022,Journal of atherosclerosis and thrombosis,Research Article,Cardiology,The Future Role of High-Performance Computing in Cardiovascular Medicine and Science -Impact of Multi-Dimensional Data Analysis.,AI can calculate event risk at the individual level and has the potential to inform and refine the application of personalized medicine in cardiovascular science.,3,"cardiovascular medicine, HPC/AI",open-ended,yes,"signature claim 1 should be tier 3 , the claim 2 should be tier 2 (specific mechanism and specialty)"
34602525-2,34602525,secondary,2022,Journal of atherosclerosis and thrombosis,Research Article,Cardiology,The Future Role of High-Performance Computing in Cardiovascular Medicine and Science -Impact of Multi-Dimensional Data Analysis.,HPC technology has the potential to underpin a constructive approach in CV basic and clinical science by identifying otherwise unidentified/unexpected relationships between multi-dimensional data and clinical outcomes that may unravel potential mechanistic pathways and identify potential therapeutic targets.,2,"cardiovascular medicine, HPC/AI",open-ended,yes,"signature claim 1 should be tier 3 , the claim 2 should be tier 2 (specific mechanism and specialty)"
34972616,34972616,primary,2022,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,Editorial,Surgery,Near future image of orthopedics after COVID-19 pandemic.,"Remote robotic surgery will soon become available in the field of orthopedics, and AI diagnosis and digital transformation trends will prevail over experience and knowledge of medicine, dramatically changing medical care style in the near future.",2,orthopedic surgery / digital transformation / AI diagnosis,near future / 2022,yes,
35039425,35039425,primary,2022,Journal of the American Board of Family Medicine : JABFM,Research Article,Medical Education,A Clinician's Guide to Artificial Intelligence (AI): Why and How Primary Care Should Lead the Health Care AI Revolution.,"Primary care—as the dominant force at the base of the health care pyramid—is the most uniquely suited specialty to lead the health care AI revolution by partnering with technologists, applying quality improvement methods, and advocating for inclusive and ethical AI.",2,primary care AI adoption and leadership,open-ended,yes,
36143468,36143468,primary,2022,"Life (Basel, Switzerland)",Review,Medical Informatics / Digital Health,Artificial Intelligence in Biological Sciences.,More precise diagnosis and cost-effective treatment will be possible in the near future due to the application of AI-based technologies.,3,biological sciences / multi-domain AI applications,near future,yes,
36143468-2,36143468,secondary,2022,"Life (Basel, Switzerland)",Review,Medical Informatics / Digital Health,Artificial Intelligence in Biological Sciences.,AI through machine learning and deep-learning-based smart programs can modify the metabolic pathways of living systems to maximize yield in bio-based industrial setups.,2,biological sciences / multi-domain AI applications,near future,yes,
34954220,34954220,primary,2022,Ophthalmology. Glaucoma,Research Article,Ophthalmology,A Case for the Use of Artificial Intelligence in Glaucoma Assessment.,AI applied to relevant clinical testing in glaucoma has the potential to broadly increase access to care worldwide by providing expert-level evaluation to individuals even in the most remote regions of the planet.,3,glaucoma diagnosis / ophthalmic imaging,open-ended,yes,
35699583,35699583,primary,2022,Radiology,Editorial,Medical Informatics / Digital Health,Multitask Deep Learning Tools Are Needed for Clinical Practice-Especially for Low Back Pain.,"Multitask deep learning tools are needed for clinical practice, especially for low back pain.",2,musculoskeletal / low back pain imaging,open-ended,yes,
36080827,36080827,primary,2022,"Sensors (Basel, Switzerland)",Research Article,Pathology / Laboratory Medicine,Smart Diagnostics: Combining Artificial Intelligence and In Vitro Diagnostics.,"AI-based universal in vitro diagnostics platforms combining embedded electronics, cloud computing, and AI will extend to multiple cell-based oncology tests via cross-reactive biomarkers spanning oral, colorectal, lung, bladder, esophageal, and cervical cancers, improving patient care, management, and outcomes through deployment of this resilient and scalable technology.",2,point-of-care diagnostics / AI-integrated biosensors / oncology,open-ended,yes,
32767299,32767299,primary,2022,"Ultraschall in der Medizin (Stuttgart, Germany : 1980)",Research Article,Radiology / Diagnostic Imaging,Accuracy of Trained Physicians is Inferior to Deep Learning-Based Algorithm for Determining Angles in Ultrasound of the Newborn Hip.,"Deep-learning algorithms, more accurate than physicians at newborn-hip ultrasound angle measurement (CNN RMSE 3.9 deg vs physician 7.1 deg), can be used in routine practice to support/surpass physicians.",1,pediatric musculoskeletal ultrasound / hip dysplasia screening,open-ended,yes,"The claim 2 is the real claim that is tier 1, delet signature claim 1, only keep 2"
36514232,36514232,primary,2022,Veterinary radiology & ultrasound : the official journal of the American College of Veterinary Radiology and the International Veterinary Radiology Association,Letter,Multidisciplinary / Other,Artificial intelligence in veterinary care will be a major driving force behind ai advancements in healthcare.,Artificial intelligence in veterinary care will be a major driving force behind AI advancements in healthcare.,3,veterinary AI / healthcare AI advancement,open-ended,yes,
37466892,37466892,primary,2023,Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry,Editorial,Mental Health / Psychiatry,Artificial Intelligence: the Next Frontier in Psychiatric Treatment and Education.,Artificial intelligence represents the next frontier in psychiatric treatment and education.,3,psychiatry / medical education,open-ended,yes,
35965155,35965155,primary,2023,Academic radiology,Research Article,Radiology / Diagnostic Imaging,Academic Radiology Departments Should Lead Artificial Intelligence Initiatives.,"Academic radiology departments, with their track record of innovation and unique access to digital data, are distinctly positioned to lead AI initiatives and usher in a new medical era of artificial intelligence.",2,radiology AI leadership and deployment,open-ended,yes,
37429545,37429545,primary,2023,Ageing research reviews,Review,Neurology / Neuroscience,"New era of artificial intelligence and machine learning-based detection, diagnosis, and therapeutics in Parkinson's disease.","AI and ML models will enable early prediction, diagnosis, classification, novel biomarker identification, drug discovery, and effective management of Parkinson's disease through neuroimaging, speech recordings, gait analysis, lipidomics, gut-brain axis, metaverse, IoT, and electronic health records.",2,neurology / Parkinson's disease AI diagnostics and therapeutics,open-ended,yes,
37088277,37088277,primary,2023,American journal of obstetrics and gynecology,Research Article,Obstetrics / Gynecology,ChatGPT outscored human candidates in a virtual objective structured clinical examination in obstetrics and gynecology.,"ChatGPT outscored human candidates (average 77.2% vs 73.7%) in a virtual objective structured clinical examination in obstetrics and gynecology, demonstrating emergent ability to compete with human candidates who have undergone extensive specialist training.",1,obstetrics and gynecology clinical examination / NLP,open-ended,yes,
36924908,36924908,primary,2023,American journal of obstetrics and gynecology,Research Article,Obstetrics / Gynecology,Chat Generative Pre-trained Transformer: why we should embrace this technology.,"Chat Generative Pre-trained Transformer has potential uses in the practice of medicine, and clinicians (obstetrician-gynecologists) should serve as the driving force behind developing and guiding its use in their field.",2,clinical NLP / obstetrics-gynecology,open-ended,yes,
37204548,37204548,primary,2023,Annals of biomedical engineering,Letter,Surgery,GPT4: The Indispensable Helper for Neurosurgeons in the New Era.,GPT4 is prone to become an indispensable assistant for neurosurgeons in the new era.,3,neurosurgery / clinical AI assistance,open-ended,yes,
37335374,37335374,primary,2023,Annals of biomedical engineering,Letter,Internal Medicine / Primary Care,The Rise of AI: How Artificial Intelligence is Revolutionizing Infectious Disease Control.,"AI will increasingly prevent future health crises by predicting outbreaks, identifying high-risk areas, and aiding in vaccine development.",3,infectious disease surveillance and control,open-ended,yes,
37183438,37183438,primary,2023,Cancer,Research Article,Oncology,ChatGPT-A promising generative AI tool and its implications for cancer care.,"ChatGPT is well suited to review and extract key content from records of patients with cancer, interpret next-generation sequencing reports, and offer a list of potential clinical trial options.",2,oncology / clinical NLP,open-ended,yes,
37366774,37366774,primary,2023,Cancer biotherapy & radiopharmaceuticals,Editorial,Oncology,Cancer Care by Committee to be Superseded by Personal Physician-Patient Partnership Informed by Artificial Intelligence.,The advent of advanced artificial intelligence technology and Chatbot natural language algorithms will shift the cancer care paradigm from a multidisciplinary tumor board (MTB) management model toward a personal physician-patient shared-care partnership for real-world practice of precision individualized holistic oncology.,1,oncology decision-making / tumor boards,open-ended,yes,
37686619,37686619,primary,2023,Cancers,Review,Oncology,Artificial Intelligence in Lung Cancer Screening: The Future Is Now.,"AI-based computer-aided detection (CAD) systems provide automatic detection of potential lung nodules with high sensitivity, working as a concurrent or second reader and reducing the time needed for image interpretation in lung cancer screening.",2,lung cancer screening / radiology AI,open-ended,yes,"sure, keep both claims as tier 2"
37686619-2,37686619,secondary,2023,Cancers,Review,Oncology,Artificial Intelligence in Lung Cancer Screening: The Future Is Now.,"AI-based radiomic features extraction after segmentation can characterize lung abnormalities providing a so-called 'virtual biopsy', enabling non-invasive malignancy characterization.",2,lung cancer screening / radiology AI,open-ended,yes,"sure, keep both claims as tier 2"
36706908,36706908,primary,2023,Chest,Review,Internal Medicine / Primary Care,Smart Devices Are Poised to Revolutionize the Usefulness of Respiratory Sounds.,"Smart devices using AI and remote patient monitoring will soon allow continuous assessment of respiratory sounds (wheezes, snoring, cough, crackles) at home or work, enabling automated reports delivered to practitioners and addressing clinical questions that occur away from the clinic.",2,respiratory sound monitoring / pulmonary medicine,open-ended,yes,
37055885,37055885,primary,2023,Current pharmaceutical biotechnology,Review,Oncology,Artificial Intelligence: An Emerging Intellectual Sword for Battling Carcinomas.,"AI will achieve unprecedented accuracy as a promising tool in radiotherapy, mammography, imaging, cancer prognosis, cancer genomics, pathology, drug discovery, chemotherapy, immunotherapy, and clinical decision support in cancer care.",3,oncology / cancer AI applications,open-ended,yes,
36736581,36736581,primary,2023,Drug discovery today,Review,Medical Informatics / Digital Health,Pharma's Bio-AI revolution.,"Integration of machine learning, patient-on-chip, real-time sensing, and stem cells has the potential to drastically cut the time and cost of developing drugs and tailor them to individual patients.",2,drug discovery / AI integration,open-ended,yes,
37705603,37705603,primary,2023,Frontiers in artificial intelligence,Review,Medical Informatics / Digital Health,Artificial intelligence in clinical medicine: catalyzing a sustainable global healthcare paradigm.,"The integration of AI in clinical medicine will revolutionize various aspects of patient care and medical research, improving diagnostic accuracy, treatment outcomes, healthcare efficiency, reduced costs, and better patient experiences globally.",3,clinical medicine / healthcare systems,open-ended,yes,
37529703,37529703,primary,2023,Frontiers in pharmacology,Research Article,Medical Informatics / Digital Health,Future implications of ChatGPT in pharmaceutical industry: drug discovery and development.,ChatGPT will have significant future implications for drug discovery and development in the pharmaceutical industry.,2,drug discovery / pharmaceutical AI,open-ended,yes,
37927543,37927543,primary,2023,Health science reports,Research Article,Medical Informatics / Digital Health,The power of ChatGPT in revolutionizing rural healthcare delivery.,ChatGPT has the power to revolutionize rural healthcare delivery.,3,rural healthcare / conversational AI,open-ended,yes,
38259001,38259001,primary,2023,"International journal of surgery (London, England)",Research Article,Medical Informatics / Digital Health,Revolutionizing clinical trials: the role of AI in accelerating medical breakthroughs.,"AI will accelerate clinical trials through automated data generation and management, biosimulation, and early disease diagnosis, reducing cost and time, improving efficiency, and improving drug development research with less need for rework.",2,clinical trials / drug development,open-ended,yes,
37656938,37656938,primary,2023,JNCI cancer spectrum,Letter,Oncology,RE: Artificial intelligence chatbots will revolutionize how cancer patients access information: ChatGPT represents a paradigm-shift.,"Artificial intelligence chatbots will revolutionize how cancer patients access information, with ChatGPT representing a paradigm-shift.",3,oncology patient information / clinical NLP,open-ended,yes,
35695277,35695277,primary,2023,Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists,Research Article,Cardiology,"Is the Cardiovascular Specialist Ready For the Fifth Revolution? The Role of Artificial Intelligence, Machine Learning, Big Data Analysis, Intelligent Swarming, and Knowledge-Centered Service on the Future of Global Cardiovascular Healthcare Delivery.","Artificial intelligence, machine learning, big data analysis, intelligent swarming, and knowledge-centered service will define the future of global cardiovascular healthcare delivery.",3,cardiovascular care / AI transformation,open-ended,yes,
37347508,37347508,primary,2023,Journal of medical Internet research,Research Article,Medical Informatics / Digital Health,The ChatGPT (Generative Artificial Intelligence) Revolution Has Made Artificial Intelligence Approachable for Medical Professionals.,The ChatGPT revolution has initiated a wave of generative AI products and services that will change physicians' perceptions and make AI approachable for medical professionals.,3,clinical AI adoption / large language models,open-ended,yes,
37751243,37751243,primary,2023,Journal of medical Internet research,Research Article,Medical Informatics / Digital Health,A Future of Smarter Digital Health Empowered by Generative Pretrained Transformer.,"GPT technology can be incorporated through various digital health platforms in homes and hospitals embedded with numerous sensors, wearables, and remote monitoring devices to enable centralized communications, automated analytics, personalized health care, and instant decision-making.",2,digital health / generative AI,open-ended,yes,
37975946,37975946,primary,2023,Journal of medical systems,Letter,Medical Informatics / Digital Health,Applications of Artificial Intelligence in Health Care Delivery.,"Artificial intelligence can serve as the 'wheat thresher' for health care delivery, empowering and freeing both patients and physicians by decreasing administrative burden and improving labor productivity across three principal areas: automation of administrative process, augmentation of clinical practice, and automation of elements of clinical practice.",2,health care delivery / administrative and clinical AI,open-ended,yes,
37623465,37623465,primary,2023,Journal of personalized medicine,Review,Medical Informatics / Digital Health,Advancing Patient Care: How Artificial Intelligence Is Transforming Healthcare.,"The widespread implementation of AI in healthcare has the role to revolutionize patients' outcomes and transform the way healthcare is practiced, leading to improved accessibility, affordability, and quality of care.",3,general healthcare AI,open-ended,yes,
37459906,37459906,primary,2023,Journal of the American College of Radiology : JACR,Review,Medical Informatics / Digital Health,The Diagnostic Cockpit of the Future.,"Technology exists today to create a 'diagnostic cockpit' that can accept inputs from multiple sources, analyze them using artificial intelligence and other quantitative tools, and produce a precision diagnosis.",3,multimodal diagnostic AI / precision medicine,open-ended,yes,"I think it is extremely vague, maybe tier 3"
36841609,36841609,primary,2023,"Lancet (London, England)",Letter,Medical Informatics / Digital Health,The promise of large language models in health care.,Large language models hold significant promise for transforming health care.,3,clinical NLP / large language models,open-ended,yes,
38036704,38036704,primary,2023,Nature medicine,Research Article,Medical Informatics / Digital Health,Six ways large language models are changing healthcare.,Large language models are changing healthcare in six distinct ways.,3,large language models / healthcare transformation,open-ended,yes,
37757713,37757713,primary,2023,Nurse education today,Research Article,Nursing,"A holistic approach to remote patient monitoring, fueled by ChatGPT and Metaverse technology: The future of nursing education.","The unification of ChatGPT and Metaverse technology in nursing education can enrich the learning experience and equip nurses with the necessary skills for remote patient monitoring, ultimately leading to improved patient outcomes and quality of care.",2,nursing education / remote patient monitoring,open-ended,yes,
37389584,37389584,primary,2023,Postgraduate medical journal,Review,Surgery,Artificial intelligence in orthopaedics surgery: transforming technological innovation in patient care and surgical training.,"AI has the potential to transform education, practice and delivery of healthcare in orthopaedics, and could be combined with existing technologies in the future to improve surgical education, training, and ultimately patient care and outcomes.",3,orthopaedic surgery and surgical training,open-ended,yes,
37489981,37489981,primary,2023,Radiology,Research Article,Radiology / Diagnostic Imaging,A Context-based Chatbot Surpasses Trained Radiologists and Generic ChatGPT in Following the ACR Appropriateness Guidelines.,"A context-based chatbot (accGPT) outperforms trained radiologists and generic ChatGPT in following ACR imaging-appropriateness guidelines, and such context-based algorithms can substantially improve clinical imaging decision-making.",1,radiology clinical decision support / imaging guidelines,open-ended,yes,"Remove claim 1, use only claim 2--tier1"
35101642,35101642,primary,2023,Trends in cardiovascular medicine,Review,Cardiology,Successfully implemented artificial intelligence and machine learning applications in cardiology: State-of-the-art review.,"AI and machine learning algorithms could revolutionize cardiology across domains including signal processing, image processing, clinical risk stratification, natural language processing, and fundamental clinical discoveries.",3,cardiology,open-ended,yes,
