pmid,pub_year,journal,pub_type_simple_5,specialty,title,has_abstract,flag_confirmed,flag_reason,signature_claim,signature_claim_2,tier,topic,horizon
33575021,2021,Journal of healthcare engineering,Review,Medical Informatics / Digital Health,Involvement of Machine Learning Tools in Healthcare Decision Making.,yes,no,"The paper is a descriptive review of current ML applications in healthcare with no specific forward-looking prediction about what AI will do, replace, or enable in the future.",,,,healthcare decision making / medical AI review,open-ended
33929707,2021,Journal of robotic surgery,Research Article,Ophthalmology,Can robotics be the future of ophthalmic surgery?,yes,yes,"The abstract makes a forward-looking claim that robotics and AI 'may provide an ideal machine-human interface' improving clinical outcomes, and the title explicitly frames this as a future prediction.",Innovations in robotic technology and artificial intelligence may provide an ideal machine-human interface with planned and precise movements minimizing unwanted tissue damage and improving clinical outcomes in ophthalmic surgery.,,3,ophthalmic surgery robotics,open-ended
32974930,2021,Journal of surgical oncology,Review,Oncology,Patient generated health data and electronic health record integration in oncologic surgery: A call for artificial intelligence and machine learning.,yes,yes,"The abstract explicitly calls for AI/ML to play a 'critical role' in translating PGHD and PROs 'into meaningful patient care models,' a forward-looking claim about AI enabling clinical workflow transformation.","Artificial intelligence and machine-learning methodology will play a critical role in the efficient translation of patient-generated health data, patient-reported outcomes, and traditional outcome measures into meaningful patient care models in surgical oncology.",,2,surgical oncology / clinical data integration,open-ended
34648746,2021,Journal of the American College of Radiology : JACR,Research Article,Radiology / Diagnostic Imaging,Accelerating Development and Clinical Deployment of Diagnostic Imaging Artificial Intelligence.,no,yes,"Title explicitly claims AI will accelerate development and clinical deployment in diagnostic imaging, a forward-looking deployment claim.",Artificial intelligence will accelerate the development and clinical deployment of diagnostic imaging tools.,,2,diagnostic imaging,open-ended
40477078,2021,Mobile networks and applications : MONET,Research Article,Medical Informatics / Digital Health,"Mobile Data Science and Intelligent Apps: Concepts, AI-Based Modeling and Research Directions.",yes,no,"The paper is a comprehensive survey/review presenting concepts and research directions; it contains no specific forward-looking prediction about AI's future role, only broad aspirational statements about future research directions.",,,,mobile AI applications / data science,open-ended
33851753,2021,Movement disorders : official journal of the Movement Disorder Society,Editorial,Neurology / Neuroscience,Machine Learning Will Extend the Clinical Utility of Adaptive Deep Brain Stimulation.,no,yes,Title contains explicit forward-looking claim: 'Machine Learning Will Extend the Clinical Utility of Adaptive Deep Brain Stimulation',Machine learning will extend the clinical utility of adaptive deep brain stimulation.,,2,deep brain stimulation / neurology,open-ended
33159824,2021,Nursing inquiry,Research Article,Nursing,Transcending human frailties with technological enhancements and replacements: Transhumanist perspective in nursing and healthcare.,yes,yes,"The abstract makes forward-looking claims that technology 'is projected to deliver solutions toward transcending these frailties' and that 'advancing technologies are reaching the summit of technological sophistication contributing to the transhumanist views,' indicating a predictive/transformative claim about AI and technology's future role.","Through technologies including genetic screening and other technological manipulations, intelligent machines and augmented humans will improve, maintain, and remedy human-linked susceptibilities, transcending human frailties.",,3,"transhumanism, nursing, healthcare technology",open-ended
34370272,2021,Physical and engineering sciences in medicine,Research Article,Medical Informatics / Digital Health,Artificial intelligence (AI) will enable improved diagnosis and treatment outcomes.,no,yes,"The title makes a forward-looking claim that AI 'will enable' improved diagnosis and treatment outcomes, indicating a specific predictive assertion.",Artificial intelligence (AI) will enable improved diagnosis and treatment outcomes.,,3,general clinical AI,open-ended
35199553,2021,Physiological research,Review,Medical Informatics / Digital Health,The potential applications of artificial intelligence in drug discovery and development.,yes,yes,The abstract makes forward-looking claims that AI will accelerate drug discovery/repurposing and that 'AI approaches are altogether necessary and inevitable tools in new medicine development.',"AI approaches, coupled with big data, are expected to substantially improve the effectiveness of drug repurposing and finding new drugs for various complex human diseases.",,2,drug discovery and development,open-ended
32940124,2021,SLAS technology,Review,Medical Informatics / Digital Health,Artificial Intelligence Effecting a Paradigm Shift in Drug Development.,yes,yes,"The abstract explicitly predicts a 'paradigm shift' leading to 'even greater advancements in the integration of AI in automating processes within drug development and discovery, enabling the probability and reality of attaining future precision and personalized medicine.'","This paradigm shift will lead to even greater advancements in the integration of AI in automating processes within drug development and discovery, enabling the probability and reality of attaining future precision and personalized medicine.",,3,drug discovery and development,open-ended
34471174,2021,Scientific reports,Research Article,Dermatology,"AI outperformed every dermatologist in dermoscopic melanoma diagnosis, using an optimized deep-CNN architecture with custom mini-batch logic and loss function.",yes,yes,"The paper explicitly claims 'AI outperformed every dermatologist' and states experimental results prove the proposed approach 'outperforms all 157 dermatologists', a specific forward-looking generalization claim about AI superiority over clinicians.","Our proposed deep-CNN approach outperforms all 157 dermatologists in dermoscopic melanoma diagnosis, achieving AUC of 94.4%, sensitivity of 85.0%, and specificity of 95.0%.",,1,dermatology imaging / melanoma diagnosis,open-ended
34247564,2021,The American journal of Chinese medicine,Review,Medical Informatics / Digital Health,The Impact of Artificial Intelligence on Traditional Chinese Medicine.,yes,yes,The abstract makes forward-looking claims such as 'AI will significantly improve the reliability and accuracy of diagnostics' and 'more unified guidelines for specific TCM syndromes will be issued with the development of AI-assisted TCM therapies in the future.',"AI is promoting TCM from experience to evidence-based medicine, and it can be expected that more unified guidelines for specific TCM syndromes will be issued with the development of AI-assisted TCM therapies in the future.","AI will significantly improve the reliability and accuracy of diagnostics, thus increasing the use of effective therapeutic methods for patients.",3,Traditional Chinese Medicine diagnostics and treatment,open-ended
35225723,2022,Cancer investigation,Research Article,Oncology,Rapid Progress in Intelligent Radiotherapy and Future Implementation.,yes,yes,The abstract explicitly puts forward 'the future of unmanned radiotherapy center' as a forward-looking claim about AI's role in radiotherapy.,"Intelligent radiotherapy will enable the future implementation of an unmanned radiotherapy center through an automatic and intelligent network platform covering radiotherapy preparation, target volume delineation, treatment planning, radiation delivery, QA/QC, prognosis judgment, and post-treatment follow-up.",,2,radiation oncology / radiotherapy AI,open-ended
35031822,2022,Cardiovascular and interventional radiology,Review,Radiology / Diagnostic Imaging,Prime Time for Artificial Intelligence in Interventional Radiology.,yes,yes,"The abstract states AI 'is about to dramatically change workflow and diagnostic capabilities' and that IR 'could lead the way to AI research and clinical applications for all interventional medical fields,' constituting forward-looking claims.",IR could lead the way to AI research and clinical applications for all interventional medical fields.,Machine learning techniques (AI) is about to dramatically change workflow and diagnostic capabilities in diagnostic radiology.,3,interventional radiology / AI workflow,open-ended
35187568,2022,Cardiovascular research,Research Article,Cardiology,Current and future implications of the artificial intelligence electrocardiogram: the transformation of healthcare and attendant research opportunities.,no,yes,"Title explicitly states 'future implications' and 'transformation of healthcare,' indicating a forward-looking claim about AI's role in ECG-based healthcare.",AI-based electrocardiogram analysis will transform healthcare and create new research opportunities.,,3,cardiology / ECG AI,open-ended
35609670,2022,Clinical biochemistry,Letter,Pathology / Laboratory Medicine,"Artificial intelligence: A step forward in the clinical laboratory, a decision maker hub.",no,yes,"The title describes AI as 'a step forward' and frames it as 'a decision maker hub' in the clinical laboratory, implying a forward-looking role for AI as a decision-making entity in clinical lab workflows.","Artificial intelligence will serve as a decision maker hub, representing a step forward in the clinical laboratory.",,2,clinical laboratory,open-ended
35909280,2022,Current pharmaceutical design,Editorial,Medical Informatics / Digital Health,"Artificial Intelligence: The New ""Fuel"" to Accelerate Pharmaceutical Development.",no,yes,"The title makes a forward-looking claim that AI will 'accelerate' pharmaceutical development, implying a concrete enabling role in drug development pipelines.",Artificial intelligence will accelerate pharmaceutical development.,,2,pharmaceutical development / drug discovery,open-ended
34652003,2022,Digestive endoscopy : official journal of the Japan Gastroenterological Endoscopy Society,Editorial,Internal Medicine / Primary Care,Contribution of the Japan Gastroenterological Endoscopy Society to promote computer-aided diagnosis/detection system development using artificial intelligence technology.,no,no,"The title describes a retrospective/descriptive contribution by a society to promote AI systems, with no specific forward-looking prediction about AI's future role, performance, or deployment.",,,,gastrointestinal endoscopy AI,open-ended
35608227,2022,European heart journal,Review,Cardiology,"Three-dimensional printing, holograms, computational modelling, and artificial intelligence for adult congenital heart disease care: an exciting future.",yes,yes,"The abstract explicitly states these technologies create 'potential opportunities of incorporating these technologies into routine clinical practice' and describes 'an exciting future' for clinical workflow implementation, constituting a forward-looking claim about AI and related technologies entering clinical use.","Advanced technologies such as 3D printing, virtual reality, augmented reality, computational modelling, and artificial intelligence will be incorporated into routine clinical practice for adult congenital heart disease to achieve the best outcomes through delivery of personalized medicine.",,2,congenital heart disease / cardiac imaging and AI,open-ended
36220360,2022,European journal of pharmacology,Review,Medical Informatics / Digital Health,Advancing health care via artificial intelligence: From concept to clinic.,yes,yes,"The abstract makes forward-looking claims that AI will perform tasks better than humans, accelerate drug discovery, and advance healthcare to achieve greater success.",There are many instances where AI can perform tasks better than humans and aid healthcare providers in treating patients.,,1,drug discovery and healthcare AI,open-ended
35872988,2022,Frontiers in endocrinology,Research Article,Internal Medicine / Primary Care,Cushing's Disease Management: Glimpse Into 2051.,yes,yes,The abstract explicitly postulates that 'endocrinology care will be completely reinvented in the Digital Age' and depicts future AI-driven diagnostic and management approaches for Cushing's Disease by 2051.,Endocrinology care will be completely reinvented in the Digital Age through the application of data technologies and artificial intelligence into healthcare.,,3,endocrinology / Cushing's disease management,by 2051
36353272,2022,Frontiers in public health,Research Article,Medical Informatics / Digital Health,"Internet of Things, Machine Learning, and Blockchain Technology: Emerging technologies revolutionizing Universal Health Coverage.",no,yes,"The title explicitly states these technologies are 'revolutionizing Universal Health Coverage,' a forward-looking transformation claim.","Internet of Things, Machine Learning, and Blockchain Technology will revolutionize Universal Health Coverage.",,3,digital health / universal health coverage,open-ended
34954571,2022,"Healthcare (Amsterdam, Netherlands)",Research Article,Internal Medicine / Primary Care,Advancing primary care with Artificial Intelligence and Machine Learning.,yes,yes,"The abstract makes a forward-looking claim that AI/ML will transform healthcare and that primary care 'must not be overlooked as AI/ML transforms healthcare,' presenting a framework for future integration.","Primary care plays a critical role in developing, introducing, implementing, and monitoring AI/ML tools in healthcare and must not be overlooked as AI/ML transforms healthcare.",,3,primary care / health systems AI integration,open-ended
35691440,2022,International journal of cardiology,Research Article,Cardiology,Artificial intelligence versus physicians on interpretation of printed ECG images: Diagnostic performance of ST-elevation myocardial infarction on electrocardiography.,yes,yes,The paper explicitly claims 'Image-based AI system can outperform clinicians in STEMI diagnosis' and tests whether the system outperforms emergency physicians and cardiologists in a head-to-head comparison.,"Image-based AI system (QCG™) can outperform clinicians (emergency physicians and cardiologists) in STEMI diagnosis, with AUC-ROC of 0.919 significantly higher than all clinician groups (0.817–0.856), and its performance is robust to changes in image acquisition conditions.",,1,cardiology ECG interpretation / STEMI diagnosis,open-ended
36142600,2022,International journal of molecular sciences,Review,Medical Informatics / Digital Health,Molecular Biosimilarity-An AI-Driven Paradigm Shift.,yes,yes,"The abstract explicitly predicts a 'dramatic paradigm shift' driven by AI (AlphaFold-2) enabling analytics-based molecular biosimilarity to replace classical animal and clinical testing for biosimilar approval, with 160+ products identified as ready to enter as biosimilars.","AI-based protein structure prediction (AlphaFold-2) confirms that identical primary structure determines identical 3D structure, enabling biosimilar approval based on molecular biosimilarity alone—replacing classical animal and clinical testing—and reducing development costs without compromising safety or efficacy.",,2,biosimilar drug development / regulatory science,open-ended
36028138,2022,"International journal of surgery (London, England)",Letter,Internal Medicine / Primary Care,Deep learning research should be encouraged for diagnosis and treatment of antibiotic resistance of microbial infections in treatment associated emergencies in hospitals.,no,yes,"The title explicitly calls for deep learning to be used for diagnosis and treatment of antibiotic resistance, constituting a forward-looking claim about AI's future role in clinical microbiology.",Deep learning should be deployed for diagnosis and treatment of antibiotic resistance of microbial infections in treatment-associated emergencies in hospitals.,,2,antimicrobial resistance / clinical microbiology,open-ended
35302963,2022,JBJS reviews,Review,Surgery,Understanding Artificial Intelligence and Predictive Analytics: A Clinically Focused Review of Machine Learning Techniques.,yes,yes,The abstract states 'Machine learning will soon become critical in the day-to-day operations of orthopaedic practice' and claims algorithms 'provide improved accuracy compared with clinicians' — both forward-looking and superiority claims.,"Machine learning will soon become critical in the day-to-day operations of orthopaedic practice, providing improved accuracy compared with clinicians, decreased time required, and a heightened ability to triage patients.",,1,orthopaedics / clinical machine learning,soon (unspecified near-term)
34602525,2022,Journal of atherosclerosis and thrombosis,Research Article,Cardiology,The Future Role of High-Performance Computing in Cardiovascular Medicine and Science -Impact of Multi-Dimensional Data Analysis.,yes,yes,The abstract makes forward-looking claims that AI/HPC 'has the potential to inform and refine the application of personalized medicine' and will identify non-intuitive relationships to unravel mechanistic pathways and therapeutic targets in cardiovascular medicine.,AI can calculate event risk at the individual level and has the potential to inform and refine the application of personalized medicine in cardiovascular science.,HPC technology has the potential to underpin a constructive approach in CV basic and clinical science by identifying otherwise unidentified/unexpected relationships between multi-dimensional data and clinical outcomes that may unravel potential mechanistic pathways and identify potential therapeutic targets.,3,"cardiovascular medicine, HPC/AI",open-ended
34972616,2022,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,Editorial,Surgery,Near future image of orthopedics after COVID-19 pandemic.,yes,yes,"The abstract makes forward-looking claims that AI diagnosis, remote medical care, and digital transformation 'will accelerate further in 2022' and 'will prevail to our field' changing medical care style 'dramatically in near future', and that remote robotic surgery 'will soon become available in the field of orthopedics'.","Remote robotic surgery will soon become available in the field of orthopedics, and AI diagnosis and digital transformation trends will prevail over experience and knowledge of medicine, dramatically changing medical care style in the near future.",,2,orthopedic surgery / digital transformation / AI diagnosis,near future / 2022
35039425,2022,Journal of the American Board of Family Medicine : JABFM,Research Article,Medical Education,A Clinician's Guide to Artificial Intelligence (AI): Why and How Primary Care Should Lead the Health Care AI Revolution.,yes,yes,The abstract makes a forward-looking claim that primary care is 'the most uniquely suited specialty to lead the health care AI revolution' and prescribes how PCPs will/should advance health care AI deployment.,"Primary care—as the dominant force at the base of the health care pyramid—is the most uniquely suited specialty to lead the health care AI revolution by partnering with technologists, applying quality improvement methods, and advocating for inclusive and ethical AI.",,2,primary care AI adoption and leadership,open-ended
36143468,2022,"Life (Basel, Switzerland)",Review,Medical Informatics / Digital Health,Artificial Intelligence in Biological Sciences.,yes,yes,"The abstract contains forward-looking claims such as 'More precise diagnosis and cost-effective treatment will be possible in the near future due to the application of AI-based technologies' and describes widening potential applications in epidemiology, drug design, agriculture, and bio-based industry.",More precise diagnosis and cost-effective treatment will be possible in the near future due to the application of AI-based technologies.,AI through machine learning and deep-learning-based smart programs can modify the metabolic pathways of living systems to maximize yield in bio-based industrial setups.,3,biological sciences / multi-domain AI applications,near future
35046123,2022,Open heart,Editorial,Medical Informatics / Digital Health,Artificial intelligence and machine learning: the resurgence of the industrial revolution by robots.,no,yes,"The title frames AI/ML as causing a 'resurgence of the industrial revolution by robots,' a forward-looking claim about AI transforming industry/society.",Artificial intelligence and machine learning will drive a resurgence of the industrial revolution through robots.,,3,AI/ML general transformation,open-ended
34954220,2022,Ophthalmology. Glaucoma,Research Article,Ophthalmology,A Case for the Use of Artificial Intelligence in Glaucoma Assessment.,yes,yes,"The abstract explicitly hypothesizes that AI 'has the potential to enhance the ability to detect glaucoma' and 'has the potential to broadly increase access to care worldwide' by providing 'expert-level evaluation' globally, constituting a forward-looking claim.",AI applied to relevant clinical testing in glaucoma has the potential to broadly increase access to care worldwide by providing expert-level evaluation to individuals even in the most remote regions of the planet.,,3,glaucoma diagnosis / ophthalmic imaging,open-ended
35699583,2022,Radiology,Editorial,Medical Informatics / Digital Health,Multitask Deep Learning Tools Are Needed for Clinical Practice-Especially for Low Back Pain.,no,yes,"The title makes a forward-looking prescriptive claim that multitask deep learning tools 'are needed' for clinical practice, implying future deployment/adoption in clinical workflows.","Multitask deep learning tools are needed for clinical practice, especially for low back pain.",,2,musculoskeletal / low back pain imaging,open-ended
36080827,2022,"Sensors (Basel, Switzerland)",Research Article,Pathology / Laboratory Medicine,Smart Diagnostics: Combining Artificial Intelligence and In Vitro Diagnostics.,yes,yes,"The abstract makes forward-looking claims that AI-based IVDs 'have the potential to exponentially improve healthcare decision making in the coming years' and that the platform 'is well-positioned to improve patient care, management, and outcomes through deployment' across multiple cancer types.","AI-based universal in vitro diagnostics platforms combining embedded electronics, cloud computing, and AI will extend to multiple cell-based oncology tests via cross-reactive biomarkers spanning oral, colorectal, lung, bladder, esophageal, and cervical cancers, improving patient care, management, and outcomes through deployment of this resilient and scalable technology.",,2,point-of-care diagnostics / AI-integrated biosensors / oncology,open-ended
32767299,2022,"Ultraschall in der Medizin (Stuttgart, Germany : 1980)",Research Article,Radiology / Diagnostic Imaging,Accuracy of Trained Physicians is Inferior to Deep Learning-Based Algorithm for Determining Angles in Ultrasound of the Newborn Hip.,yes,yes,"The paper makes a specific forward-looking claim that deep learning algorithms outperform trained physicians in angle determination and 'similar methods could be used to support physicians,' constituting a testable superiority claim.",The accuracy of physicians in their daily routine is inferior to deep learning-based algorithms for determining angles in ultrasound of the newborn hip (physician RMSE 7.1° vs. CNN landmark detection RMSE 3.9° for alpha angle).,Similar deep learning methods could be used to support physicians in sonographic hip angle determination.,1,pediatric musculoskeletal ultrasound / hip dysplasia screening,open-ended
36514232,2022,Veterinary radiology & ultrasound : the official journal of the American College of Veterinary Radiology and the International Veterinary Radiology Association,Letter,Multidisciplinary / Other,Artificial intelligence in veterinary care will be a major driving force behind ai advancements in healthcare.,no,yes,The title makes a forward-looking claim that AI in veterinary care 'will be a major driving force' behind AI advancements in healthcare.,Artificial intelligence in veterinary care will be a major driving force behind AI advancements in healthcare.,,3,veterinary AI / healthcare AI advancement,open-ended
37466892,2023,Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry,Editorial,Mental Health / Psychiatry,Artificial Intelligence: the Next Frontier in Psychiatric Treatment and Education.,no,yes,"Title explicitly frames AI as 'the Next Frontier' in psychiatric treatment and education, a forward-looking claim about AI's future role.",Artificial intelligence represents the next frontier in psychiatric treatment and education.,,3,psychiatry / medical education,open-ended
35965155,2023,Academic radiology,Research Article,Radiology / Diagnostic Imaging,Academic Radiology Departments Should Lead Artificial Intelligence Initiatives.,yes,yes,"The abstract contains a forward-looking claim that academic radiology departments should lead AI initiatives and that radiologists are 'distinctly positioned to usher in a new medical era of artificial intelligence,' with goals of 'bringing their departments into the AI era and realizing its full potential.'","Academic radiology departments, with their track record of innovation and unique access to digital data, are distinctly positioned to lead AI initiatives and usher in a new medical era of artificial intelligence.",,2,radiology AI leadership and deployment,open-ended
37429545,2023,Ageing research reviews,Review,Neurology / Neuroscience,"New era of artificial intelligence and machine learning-based detection, diagnosis, and therapeutics in Parkinson's disease.",yes,yes,"The abstract makes forward-looking claims about AI/ML enabling detection, diagnosis, therapeutics, drug discovery, and management of Parkinson's disease, including future roles of metaverse and IoT in PD management.","AI and ML models will enable early prediction, diagnosis, classification, novel biomarker identification, drug discovery, and effective management of Parkinson's disease through neuroimaging, speech recordings, gait analysis, lipidomics, gut-brain axis, metaverse, IoT, and electronic health records.",,2,neurology / Parkinson's disease AI diagnostics and therapeutics,open-ended
37088277,2023,American journal of obstetrics and gynecology,Research Article,Obstetrics / Gynecology,ChatGPT outscored human candidates in a virtual objective structured clinical examination in obstetrics and gynecology.,yes,yes,"The paper makes a specific forward-looking claim that NLP models like ChatGPT can 'successfully compete with human candidates that have undergone extensive specialist training,' and demonstrates ChatGPT outscoring human candidates in a clinical examination.","ChatGPT outscored human candidates (average 77.2% vs 73.7%) in a virtual objective structured clinical examination in obstetrics and gynecology, demonstrating emergent ability to compete with human candidates who have undergone extensive specialist training.",,1,obstetrics and gynecology clinical examination / NLP,open-ended
